"accepted_name","accepted_rank","max_ma","min_ma","family","genus","lng","lat"
"Palaeoloxodon recki","species","2.588","0.0117","Elephantidae","Elephas","42.277500","11.057800"
"Palaeoloxodon recki","species","2.588","0.0117","Elephantidae","Elephas","42.277500","11.057800"
"Palaeoloxodon recki","species","2.588","0.0117","Elephantidae","Elephas","39.849998","14.083300"
"Loxodonta","genus","2.588","0.0117","Elephantidae","Loxodonta","-6.081400","34.435600"
"Palaeoloxodon recki","species","2.588","0.781","Elephantidae","Elephas","37.500000","5.250000"
"Palaeoloxodon recki","species","2.588","0.781","Elephantidae","Elephas","37.500000","5.250000"
"Palaeoloxodon recki","species","2.588","0.781","Elephantidae","Elephas","37.500000","5.250000"
"Elephas","genus","2.588","0.781","Elephantidae","Elephas","37.500000","5.250000"
"Palaeoloxodon recki","species","2.588","0.781","Elephantidae","Elephas","37.500000","5.250000"
"Palaeoloxodon recki","species","2.588","0.781","Elephantidae","Elephas","37.500000","5.250000"
"Palaeoloxodon recki","species","1.806","0.781","Elephantidae","Elephas","37.500000","5.250000"
"Loxodonta","genus","5.333","2.588","Elephantidae","Loxodonta","18.869499","15.969200"
"Stegodon kaisensis","species","5.333","2.588","Elephantidae","Stegodon","18.879400","15.969400"
"Loxodonta","genus","5.333","2.588","Elephantidae","Loxodonta","18.879400","15.969400"
"Palaeoloxodon recki","species","2.588","0.781","Elephantidae","Elephas","35.966702","-2.333300"
"Palaeoloxodon recki","species","2.588","0.781","Elephantidae","Elephas","35.966702","-2.333300"
"Palaeoloxodon recki","species","2.588","0.0117","Elephantidae","Elephas","35.966702","-2.333300"
"Palaeoloxodon recki","species","2.588","0.781","Elephantidae","Elephas","35.966702","-2.333300"
"Loxodonta","genus","5.333","2.588","Elephantidae","Loxodonta","33.916698","-10.000000"
"Palaeoloxodon recki","species","5.333","2.588","Elephantidae","Elephas","33.916698","-10.000000"
"Deinotherium","genus","5.333","0.0117","Deinotheriidae","Deinotherium","37.000000","5.000000"
"Deinotherium","genus","5.333","0.0117","Deinotheriidae","Deinotherium","37.000000","5.000000"
"Palaeoloxodon recki","species","2.588","0.781","Elephantidae","Elephas","35.966702","-2.333300"
"Palaeoloxodon recki","species","2.588","0.781","Elephantidae","Elephas","35.966702","-2.333300"
"Palaeoloxodon recki","species","2.588","0.0117","Elephantidae","Elephas","35.966702","-2.333300"
"Palaeoloxodon recki","species","2.588","0.781","Elephantidae","Elephas","35.966702","-2.333300"
"Loxodonta","genus","1.806","0.781","Elephantidae","Loxodonta","0.327200","35.415798"
