Species	Status	min_age	max_age
Sojanoneura_proxima	extinct	268.8	272.3
Sojanoneura	extinct	268.8	272.3
Scytinoptera_reducta	extinct	268.8	272.3
Permodiphtheroides_dubitans	extinct	268.8	272.3
Permothrips_longipennis	extinct	268	272.5
Scytocixius_mendax	extinct	259.9	265.1
Scytophara_extensa	extinct	259.9	265.1
Prosbole_sojanensis	extinct	268.8	272.3
Prosbole_jucunda	extinct	268.8	272.3
Prosbole_reducta	extinct	268.8	272.3
Prosbole	extinct	268.8	272.3
Prosbole_dilatata	extinct	268.8	272.3
Prosbole	extinct	268.8	272.3
Prosbole	extinct	268.8	272.3
Sojanoneura_bimaculata	extinct	268.8	272.3
Prosbole_ovalis	extinct	268.8	272.3
Prosbole	extinct	268.8	272.3
Prosbole	extinct	268.8	272.3
Sojanoneura_edemskii	extinct	268.8	272.3
Sojanoneura_bimaculata	extinct	268.8	272.3
Permocicadopsis_aberrans	extinct	268.8	272.3
Sojanoneura_dubiosa	extinct	268.8	272.3
Sojanoneura_triangularis	extinct	268.8	272.3
Sojanoneura_signata	extinct	268.8	272.3
Sojanoneura	extinct	268.8	272.3
Permocicada_elliptica	extinct	268.8	272.3
Sojanoneura_furcatula	extinct	268.8	272.3
Permocicada_borealis	extinct	268.8	272.3
Permocicada_subtruncata	extinct	268.8	272.3
Permocicadopsis_angustata	extinct	268.8	272.3
Permocicada	extinct	268.8	272.3
Scytoneura_elliptica	extinct	268.8	272.3
Prosbolopsis_ovalis	extinct	268.8	272.3
Scytinoptera	extinct	268.8	272.3
Coleoscytodes_venosa	extinct	268.8	272.3
Permocicada_simulatrix	extinct	268.8	272.3
Permocicada	extinct	268.8	272.3
Permopibrocha_ramosa	extinct	268.8	272.3
Prosbolopsis_ovalis	extinct	268.8	272.3
Prosbolopsis_ovalis	extinct	268.8	272.3
Prosbolopsis	extinct	268.8	272.3
Scytinoptera_reducta	extinct	268.8	272.3
Scytinoptera	extinct	268.8	272.3
Scytinoptera_reducta	extinct	268.8	272.3
Coleoscyta_rotundata	extinct	268.8	272.3
Coleoscytodes_elytrata	extinct	268.8	272.3
Coleoscytodes_elytrata	extinct	268.8	272.3
Scytinoptera_cubitalis	extinct	268.8	272.3
Delphax_veterum	extinct	46.2	50.3
Dinidorites_margiformis	extinct	46.2	50.3
Prosbole_elongata	extinct	268.8	272.3
Prosbole	extinct	268.8	272.3
Permocicada_nigronervosa	extinct	268.8	272.3
Sojanoneura_marginata	extinct	268.8	272.3
Scytinoptera_signata	extinct	268.8	272.3
Cicadopsylla_permiana	extinct	268.8	272.3
Gallodunstania_grauvogeli	extinct	242	247.2
Probascanion_megacephalum	extinct	182	183
Acromocoris_similis	extinct	182	183
Liassocicada_ignotatus	extinct	201.3	208.5
Liassocicada_ignotatus	extinct	201.3	208.5
Liassocicada_ignotatus	extinct	201.3	208.5
Rasnitsynaphis_ennearticulata	extinct	113	125
Rasnitsynaphis_coniuncta	extinct	113	125
Rasnitsynaphis_quadrata	extinct	113	125
Brevrimatus_pulchalifer	extinct	125	129.4
Limfjordia_breineri	extinct	47.8	56
Limfjordia	extinct	47.8	56
Nettelstedtia_breitkreutzi	extinct	152.1	157.3
Leipolygaeus_similis	extinct	166.1	170.3
Heteroptera	extinct	166.1	170.3
Homoptera	extinct	166.1	170.3
Saldonia_formosa	extinct	145	152.1
